name,year,dollar_price,local_price
Argentina,2000,2.5,2.5
Argentina,2001,2.5,2.5
Argentina,2002,0.798722045,2.5
Argentina,2003,1.423611111,4.1
Argentina,2004,1.477966102,4.36
Argentina,2005,1.639627201,4.75
Argentina,2006,1.920281753,5.875
Argentina,2007,2.66979544,8.25
Argentina,2008,3.64298725,11
Argentina,2009,3.017382748,11.5
Argentina,2010,2.700888862,10.5
Argentina,2011,4.83968542,20
Argentina,2012,4.398784798,19.5
Argentina,2013,3.84892598,20
Argentina,2014,2.802453385,21
Argentina,2015,3.15858331,28
Argentina,2016,2.868771599,41.5
Argentina,2017,3.79696223,62.5
Argentina,2018,3.332767903,75
Argentina,2019,2.436453627,97.5
Argentina,2020,3.178059921,210.5
Australia,2000,1.541666667,2.59
Australia,2001,1.515151515,3
Australia,2002,1.612903226,3
Australia,2003,1.863354037,3
Australia,2004,2.272727273,3.25
Australia,2005,2.497118709,3.25
Australia,2006,2.440554773,3.25
Australia,2007,2.835987877,3.45
Australia,2008,3.362573099,3.45
Australia,2009,3.372445411,4.34
Australia,2010,3.90739387,4.35
Australia,2011,4.943724001,4.56
Australia,2012,4.808358,4.68
Australia,2013,4.760159625,4.8675
Australia,2014,4.643843749,5.075
Australia,2015,4.120484999,5.3
Australia,2016,4.024196251,5.525
Australia,2017,4.401567501,5.85
Australia,2018,4.61077625,5.975
Australia,2019,4.306075,6.125
Australia,2020,4.5147975,6.5
Azerbaijan,2018,2.321140003,3.95
Azerbaijan,2019,2.328323018,3.95
Azerbaijan,2020,2.326610008,3.95
Bahrain,2018,3.161638783,1.2
Bahrain,2019,3.448275862,1.3
Bahrain,2020,3.713281629,1.4
Brazil,2000,1.648044693,2.95
Brazil,2001,1.643835616,3.6
Brazil,2002,1.538461538,3.6
Brazil,2003,1.482084691,4.55
Brazil,2004,1.698113208,5.4
Brazil,2005,2.393703343,5.9
Brazil,2006,2.759359158,6.3
Brazil,2007,3.3033329,6.65
Brazil,2008,4.733055661,7.5
Brazil,2009,4.020830204,8.03
Brazil,2010,4.832746512,8.455
Brazil,2011,6.162428646,9.5
Brazil,2012,5.30732235,10.165
Brazil,2013,5.464297928,11.625
Brazil,2014,5.551326053,12.7
Brazil,2015,4.744673059,13.5
Brazil,2016,4.068007273,14.5
Brazil,2017,5.109756475,16.5
Brazil,2018,4.757308035,16.7
Brazil,2019,4.570974421,17.2
Brazil,2020,4.35904309,20.4
Britain,2000,3.002000002,1.9
Britain,2001,2.845700001,1.99
Britain,2002,2.885500002,1.99
Britain,2003,3.144200002,1.99
Britain,2004,3.365199999,1.88
Britain,2005,3.440400003,1.88
Britain,2006,3.482054,1.91
Britain,2007,3.920447252,1.965
Britain,2008,4.570496503,2.29
Britain,2009,3.688274001,2.29
Britain,2010,3.577438,2.29
Britain,2011,3.891637,2.39
Britain,2012,3.992883251,2.59
Britain,2013,4.134126499,2.69
Britain,2014,4.775967248,2.84
Britain,2015,4.4403405,2.89
Britain,2016,4.08103925,2.94
Britain,2017,3.919912752,3.14
Britain,2018,4.322290499,3.19
Britain,2019,4.087153,3.24
Britain,2020,4.3437765,3.39
Canada,2000,1.93877551,2.85
Canada,2001,2.134615385,3.33
Canada,2002,2.121019108,3.33
Canada,2003,2.206896552,3.2
Canada,2004,2.328467153,3.19
Canada,2005,2.625260125,3.28
Canada,2006,3.074556846,3.52
Canada,2007,3.38644625,3.755
Canada,2008,4.075531862,4.09
Canada,2009,3.350992807,3.89
Canada,2010,3.987170527,4.145
Canada,2011,5.000792938,4.73
Canada,2012,4.827627932,4.925
Canada,2013,5.327380324,5.47
Canada,2014,5.132136583,5.59
Canada,2015,4.587777199,5.775
Canada,2016,4.374476769,5.92
Canada,2017,4.582750358,5.975
Canada,2018,5.16224477,6.6
Canada,2019,5.120403861,6.77
Canada,2020,5.129163265,6.825
Chile,2000,2.451361868,1260
Chile,2001,2.096505824,1260
Chile,2002,2.13740458,1400
Chile,2003,1.955307263,1400
Chile,2004,2.184087363,1400
Chile,2005,2.531859229,1500
Chile,2006,2.963946004,1560
Chile,2007,3.031391331,1617.5
Chile,2008,3.133528758,1550
Chile,2009,3.190228785,1750
Chile,2010,3.261104555,1675
Chile,2011,3.997839006,1850
Chile,2012,4.104388216,2050
Chile,2013,4.14066449,2025
Chile,2014,3.706428788,2050
Chile,2015,3.307715207,2100
Chile,2016,3.234277507,2200
Chile,2017,3.742783349,2500
Chile,2018,4.170823251,2620
Chile,2019,3.857800839,2640
Chile,2020,3.447447987,2690
China,2000,1.195652174,9.9
China,2001,1.195652174,9.9
China,2002,1.268115942,10.5
China,2003,1.195652174,9.9
China,2004,1.256038647,10.4
China,2005,1.268667537,10.5
China,2006,1.30515769,10.5
China,2007,1.430696138,11
China,2008,1.829089845,12.5
China,2009,1.82943785,12.5
China,2010,1.889352443,12.85
China,2011,2.273079907,14.65
China,2012,2.444079713,15.525
China,2013,2.59027573,16
China,2014,2.734883129,16.75
China,2015,2.753465114,17.1
China,2016,2.734464125,18.1
China,2017,2.873399097,19.7
China,2018,3.133691629,20.45
China,2019,3.050757333,20.95
China,2020,3.110590674,21.6
Colombia,2004,2.346714419,6500
Colombia,2005,2.792456073,6500
Colombia,2006,2.596261384,6500
Colombia,2007,3.304446509,6900
Colombia,2008,3.891807745,7000
Colombia,2009,3.340332124,7000
Colombia,2010,4.150812445,8200
Colombia,2011,4.74442248,8400
Colombia,2012,4.650599485,8500
Colombia,2013,4.663446041,8600
Colombia,2014,4.495936462,8600
Colombia,2015,3.128360846,7900
Colombia,2016,2.733217762,8400
Colombia,2017,3.274763821,9900
Colombia,2018,3.986469089,11400
Colombia,2019,3.708144906,11900
Colombia,2020,3.454822246,11900
Costa Rica,2004,2.606389113,1130
Costa Rica,2005,2.377445824,1130
Costa Rica,2006,2.217708303,1130
Costa Rica,2007,2.198273288,1130
Costa Rica,2008,3.266669086,1800
Costa Rica,2009,3.433063838,2000
Costa Rica,2010,3.674732079,2025
Costa Rica,2011,4.065000347,2050
Costa Rica,2012,4.023236645,2050
Costa Rica,2013,4.352066691,2175
Costa Rica,2014,4.142520045,2150
Costa Rica,2015,4.021011295,2150
Costa Rica,2016,4.067376155,2200
Costa Rica,2017,4.029494494,2270
Costa Rica,2018,4.030520967,2290
Costa Rica,2019,3.853977586,2290
Costa Rica,2020,4.081037678,2350
Croatia,2018,3.326600927,21
Croatia,2019,3.28780459,21.5
Croatia,2020,3.302475316,22
Czech Republic,2000,1.390537084,54.37
Czech Republic,2001,1.435897436,56
Czech Republic,2002,1.655294118,56.28
Czech Republic,2003,1.957439446,56.57
Czech Republic,2004,2.129056604,56.42
Czech Republic,2005,2.299019188,56.42
Czech Republic,2006,2.635973443,60.525
Czech Republic,2007,2.464123274,52.5
Czech Republic,2008,4.55788577,66.08
Czech Republic,2009,3.63956906,67.92
Czech Republic,2010,3.569829386,67.64
Czech Republic,2011,4.072400848,69.32
Czech Republic,2012,3.394711763,70.275
Czech Republic,2013,3.60637726,70.39
Czech Republic,2014,3.464364961,70.45
Czech Republic,2015,2.876479469,70.225
Czech Republic,2016,3.019107215,75
Czech Republic,2017,3.093526573,75
Czech Republic,2018,3.603433108,77
Czech Republic,2019,3.768926789,85
Czech Republic,2020,3.778580178,87
Denmark,2000,3.078358209,24.75
Denmark,2001,2.925531915,24.75
Denmark,2002,2.953460621,24.75
Denmark,2003,4.092920354,27.75
Denmark,2004,4.461414791,27.75
Denmark,2005,4.575659142,27.75
Denmark,2006,4.631010081,27.75
Denmark,2007,4.952833367,27.75
Denmark,2008,5.951874841,28
Denmark,2009,5.526932084,29.5
Denmark,2010,5.448057404,29.72
Denmark,2011,5.482403409,28.5
Denmark,2012,5.009605516,30
Denmark,2013,5.04851757,28.5
Denmark,2014,5.163009197,28.5
Denmark,2015,5.22726055,34.545
Denmark,2016,4.381098381,30
Denmark,2017,4.415549444,30
Denmark,2018,4.824834522,30
Denmark,2019,4.554709108,30
Denmark,2020,4.522662403,30
Egypt,2003,1.351351351,8
Egypt,2004,1.615508885,10
Egypt,2005,1.551724138,9
Egypt,2006,1.628865708,9.375
Egypt,2007,1.635644419,9.315
Egypt,2008,2.447058824,13
Egypt,2009,2.327767581,13
Egypt,2010,2.329937982,13
Egypt,2011,2.363300906,14.09
Egypt,2012,2.602467754,15.75
Egypt,2013,2.391441515,16.375
Egypt,2014,2.399968716,16.93
Egypt,2015,2.232784282,16.93
Egypt,2016,2.376143773,19.965
Egypt,2017,1.609277455,29.43
Egypt,2018,1.842396468,32.79
Egypt,2019,2.38061273,41
Egypt,2020,2.639032556,42
Euro area,2000,2.3808,2.56
Euro area,2001,2.261600001,2.57
Euro area,2002,2.376299999,2.67
Euro area,2003,2.981,2.71
Euro area,2004,3.288000001,2.74
Euro area,2005,3.583131998,2.92
Euro area,2006,3.640370748,2.924786765
Euro area,2007,3.988050473,2.998741222
Euro area,2008,5.342704588,3.36856
Euro area,2009,4.617118998,3.31
Euro area,2010,4.588233912,3.370015536
Euro area,2011,4.928401836,3.437660401
Euro area,2012,4.387569734,3.537969306
Euro area,2013,4.768711306,3.609360031
Euro area,2014,4.957693002,3.668600507
Euro area,2015,4.1588685,3.69
Euro area,2016,4.102314499,3.77
Euro area,2017,4.263401251,3.895
Euro area,2018,4.785434749,3.995
Euro area,2019,4.60707975,4.065
Euro area,2020,4.68409825,4.165
Guatemala,2018,3.339076545,25
Guatemala,2019,3.244993818,25
Guatemala,2020,3.246903255,25
Honduras,2018,3.542759017,85
Honduras,2019,3.502453544,85.5
Honduras,2020,3.526159267,87
Hong Kong,2000,1.309370988,10.2
Hong Kong,2001,1.371794872,10.7
Hong Kong,2002,1.4,11.2
Hong Kong,2003,1.474358974,11.5
Hong Kong,2004,1.540436457,12
Hong Kong,2005,1.542277687,12
Hong Kong,2006,1.547937724,12
Hong Kong,2007,1.537083949,12
Hong Kong,2008,1.705696771,13.3
Hong Kong,2009,1.716018321,13.3
Hong Kong,2010,1.905898828,14.8
Hong Kong,2011,1.937934752,15.1
Hong Kong,2012,2.125536156,16.5
Hong Kong,2013,2.191321776,17
Hong Kong,2014,2.372948041,18.4
Hong Kong,2015,2.451273806,19
Hong Kong,2016,2.47618136,19.2
Hong Kong,2017,2.466716704,19.2
Hong Kong,2018,2.585078724,20.25
Hong Kong,2019,2.588766038,20.25
Hong Kong,2020,2.640687173,20.5
Hungary,2000,1.215053763,339
Hungary,2001,1.316831683,399
Hungary,2002,1.6875,459
Hungary,2003,2.1875,490
Hungary,2004,2.511848341,530
Hungary,2005,2.602593755,530
Hungary,2006,2.709899271,560
Hungary,2007,3.182023677,595
Hungary,2008,4.644462899,670
Hungary,2009,3.615225522,720
Hungary,2010,3.595633677,730
Hungary,2011,4.040996978,760
Hungary,2012,3.054730011,737.5
Hungary,2013,3.790465976,845
Hungary,2014,3.810848212,860
Hungary,2015,3.175208456,880
Hungary,2016,3.112931627,900
Hungary,2017,3.131879496,881
Hungary,2018,3.250777895,857
Hungary,2019,3.065235362,875
Hungary,2020,2.95146418,900
India,2011,1.891891892,84
India,2012,1.601478977,86.5
India,2013,1.583661451,89.5
India,2014,1.641756796,100
India,2015,1.859722445,116.25
India,2016,2.15592037,144.5
India,2017,2.622624597,174
India,2018,2.666116082,176.5
India,2019,2.611882315,180.5
India,2020,2.589559588,189
Indonesia,2000,1.825047199,14500
Indonesia,2001,1.354214648,14700
Indonesia,2002,1.696712619,16000
Indonesia,2003,1.842105263,16100
Indonesia,2004,1.765350877,16100
Indonesia,2005,1.529596647,14600
Indonesia,2006,1.554512013,14600
Indonesia,2007,1.756451019,15900
Indonesia,2008,2.043269231,18700
Indonesia,2009,2.049019608,20900
Indonesia,2010,2.378002883,21840
Indonesia,2011,2.643904728,22534
Indonesia,2012,2.506056635,23367
Indonesia,2013,2.832058699,27939
Indonesia,2014,2.364911377,27939
Indonesia,2015,2.262143872,29219.5
Indonesia,2016,2.275464081,30750
Indonesia,2017,2.364343959,31563
Indonesia,2018,2.434845913,33625
Indonesia,2019,2.303385827,32500
Indonesia,2020,2.384715784,33500
Israel,2000,3.580246914,14.5
Israel,2002,2.505219207,12
Israel,2009,3.774297037,15
Israel,2010,3.925083501,14.9
Israel,2011,4.671867425,15.9
Israel,2012,3.525414845,13.9
Israel,2013,4.400164842,16.2
Israel,2014,5.071583219,17.5
Israel,2015,4.539940176,17.5
Israel,2016,4.333926966,16.9
Israel,2017,4.578627045,16.9
Israel,2018,4.7392444,16.75
Israel,2019,4.675588918,17
Israel,2020,4.930305335,17
Japan,2000,2.773584906,294
Japan,2001,2.370967742,294
Japan,2002,2.015384615,262
Japan,2003,2.183333333,262
Japan,2004,2.318584071,262
Japan,2005,2.342688469,250
Japan,2006,2.208591552,250
Japan,2007,2.296043529,280
Japan,2008,2.620373403,280
Japan,2009,3.457030195,320
Japan,2010,3.583153106,320
Japan,2011,4.083455624,320
Japan,2012,4.12559586,320
Japan,2013,3.35530853,320
Japan,2014,3.309003405,340
Japan,2015,3.063643105,370
Japan,2016,3.292700495,370
Japan,2017,3.30911831,380
Japan,2018,3.46877196,385
Japan,2019,3.591085593,390
Japan,2020,3.589840977,390
Jordan,2018,2.746285473,1.95
Jordan,2019,2.99601635,2.125
Jordan,2020,3.244005642,2.3
Kuwait,2018,3.47107438,1.05
Kuwait,2019,3.538341354,1.075
Kuwait,2020,3.680884564,1.125
Lebanon,2018,4.301786896,6500
Lebanon,2019,4.313205043,6500
Lebanon,2020,5.122821916,7750
Malaysia,2000,1.189473684,4.52
Malaysia,2001,1.189473684,4.52
Malaysia,2002,1.326315789,5.04
Malaysia,2003,1.326315789,5.04
Malaysia,2004,1.326315789,5.04
Malaysia,2005,1.381578947,5.25
Malaysia,2006,1.491248196,5.5
Malaysia,2007,1.585964354,5.5
Malaysia,2008,1.69857937,5.5
Malaysia,2009,1.879511383,6.77
Malaysia,2010,2.137525212,7.05
Malaysia,2011,2.421796165,7.2
Malaysia,2012,2.336455072,7.375
Malaysia,2013,2.436946875,7.625
Malaysia,2014,2.317704078,7.515
Malaysia,2015,2.060039198,7.64
Malaysia,2016,1.903938399,8
Malaysia,2017,1.896068316,8.3
Malaysia,2018,2.188429839,8.725
Malaysia,2019,2.167163354,8.95
Malaysia,2020,2.33681054,9.745
Mexico,2000,2.221041445,20.9
Mexico,2001,2.35737352,21.9
Mexico,2002,2.359913793,21.9
Mexico,2003,2.184235518,23
Mexico,2004,2.068965517,24
Mexico,2005,2.576489533,28
Mexico,2006,2.610792177,28.5
Mexico,2007,2.678208894,29
Mexico,2008,3.146973497,32
Mexico,2009,2.389503563,33
Mexico,2010,2.500418955,32
Mexico,2011,2.741897479,32
Mexico,2012,2.703551907,37
Mexico,2013,2.881850081,37
Mexico,2014,3.011370395,39.5
Mexico,2015,3.231495923,49
Mexico,2016,2.592021975,46.5
Mexico,2017,2.493267829,49
